facility_name,report_date,avg_turnaround_time,daily_output_samples_tested,daily_output_unique_individuals,daily_output_positive_individuals,daily_output_negative_individuals,daily_output_equivocal,daily_output_invalid,remaining_available_tests,backlogs,cumulative_samples_tested,cumulative_unique_individuals,cumulative_positive_individuals,cumulative_negative_individuals,pct_positive_cumulative,pct_negative_cumulative
A Star Laboratories,29/03/2021,24,294,294,59,235,0,0,2374,0,6779,6605,905,5700,0.14,0.86
A Star Laboratories,30/03/2021,24,269,269,51,218,0,0,2113,0,7048,6874,956,5918,0.14,0.86
A Star Laboratories,31/03/2021,24,244,244,79,165,0,0,1823,0,7292,7118,1035,6083,0.15,0.85
A Star Laboratories,01/04/2021,24,134,134,47,87,0,0,1662,0,7426,7252,1082,6170,0.15,0.85
A Star Laboratories,02/04/2021,24,138,138,43,95,0,0,1510,0,7564,7390,1125,6265,0.15,0.85
A Star Laboratories,03/04/2021,24,109,109,42,67,0,0,1380,0,7673,7499,1167,6332,0.16,0.84
A Star Laboratories,04/04/2021,,,,,,,,,,7673,7499,1167,6332,0.16,0.84
A Star Laboratories,05/04/2021,24,297,297,73,224,0,0,1086,59,7970,7796,1240,6556,0.16,0.84
A Star Laboratories,06/04/2021,24,229,229,82,147,0,0,904,0,8199,8025,1322,6703,0.16,0.84
A Star Laboratories,07/04/2021,24,216,216,85,131,0,0,753,0,8415,8241,1407,6834,0.17,0.83
A Star Laboratories,08/04/2021,24,198,198,63,135,0,0,609,0,8613,8439,1470,6969,0.17,0.83
A Star Laboratories,09/04/2021,24,131,131,44,87,0,0,509,0,8744,8570,1514,7056,0.18,0.82
A Star Laboratories,10/04/2021,24,312,307,69,238,0,0,283,5,9056,8877,1583,7294,0.18,0.82
A Star Laboratories,11/04/2021,24,47,47,13,34,0,0,228,0,9103,8924,1596,7328,0.18,0.82
A Star Laboratories,12/04/2021,24,152,152,59,93,0,0,3262,0,9255,9076,1655,7421,0.18,0.82
A Star Laboratories,13/04/2021,24,160,160,40,120,0,0,3074,0,9415,9236,1695,7541,0.18,0.82
A Star Laboratories,14/04/2021,24,39,39,7,32,0,0,2340,0,9454,9275,1702,7573,0.18,0.82
A Star Laboratories,15/04/2021,24,181,181,68,113,0,0,2715,0,9635,9456,1770,7686,0.19,0.81
A Star Laboratories,16/04/2021,24,179,179,58,121,0,0,2515,0,9814,9635,1828,7807,0.19,0.81
A Star Laboratories,17/04/2021,24,181,181,60,121,0,0,2373,0,9995,9816,1888,7928,0.19,0.81
A Star Laboratories,18/04/2021,,,,,,,,,,9995,9816,1888,7928,0.19,0.81
A Star Laboratories,19/04/2021,24,184,184,43,141,0,0,2192,0,10179,10000,1931,8069,0.19,0.81
A Star Laboratories,20/04/2021,24,179,179,49,130,0,0,2034,0,10358,10179,1980,8199,0.19,0.81
A Star Laboratories,21/04/2021,24,175,175,47,128,0,0,1930,0,10533,10354,2027,8327,0.2,0.8
A Star Laboratories,22/04/2021,24,152,152,52,100,0,0,1796,0,10685,10506,2079,8427,0.2,0.8
A Star Laboratories,23/04/2021,24,184,184,41,143,0,0,1669,0,10869,10690,2120,8570,0.2,0.8
A Star Laboratories,24/04/2021,24,156,156,33,123,0,0,1542,0,11025,10846,2153,8693,0.2,0.8
A Star Laboratories,25/04/2021,,,,,,,,,,11025,10846,2153,8693,0.2,0.8
A Star Laboratories,26/04/2021,24,193,193,56,137,0,0,1382,0,11218,11039,2209,8830,0.2,0.8
A Star Laboratories,27/04/2021,24,205,205,33,172,0,0,1248,0,11423,11244,2242,9002,0.2,0.8
A Star Laboratories,28/04/2021,24,154,154,35,119,0,0,1186,0,11577,11398,2277,9121,0.2,0.8
A Star Laboratories,29/04/2021,24,135,135,33,102,0,0,1058,0,11712,11533,2310,9223,0.2,0.8
A Star Laboratories,30/04/2021,24,177,177,47,130,0,0,906,0,11889,11710,2357,9353,0.2,0.8
A Star Laboratories,01/05/2021,24,157,157,27,130,0,0,772,0,12046,11867,2384,9483,0.2,0.8
A Star Laboratories,02/05/2021,,,,,,,,,,12046,11867,2384,9483,0.2,0.8
A Star Laboratories,03/05/2021,24,202,204,43,161,0,0,4689,0,12248,12071,2427,9644,0.2,0.8
A Star Laboratories,04/05/2021,24,159,159,30,129,0,0,4483,0,12407,12230,2457,9773,0.2,0.8
A Star Laboratories,05/05/2021,24,157,157,25,132,0,0,4275,0,12564,12387,2482,9905,0.2,0.8
A Star Laboratories,06/05/2021,,,,,,,,,,12564,12387,2482,9905,0.2,0.8
A Star Laboratories,07/05/2021,24,155,155,12,143,0,0,3928,0,12719,12542,2494,10048,0.2,0.8
A Star Laboratories,08/05/2021,24,147,147,30,117,0,0,3710,0,12866,12689,2524,10165,0.2,0.8
A Star Laboratories,09/05/2021,,,,,,,,,,12866,12689,2524,10165,0.2,0.8
A Star Laboratories,10/05/2021,24,204,204,30,174,0,0,3445,0,13070,12893,2554,10339,0.2,0.8
A Star Laboratories,11/05/2021,24,127,127,24,103,0,0,3285,0,13197,13020,2578,10442,0.2,0.8
A Star Laboratories,12/05/2021,24,157,157,31,126,0,0,4171,0,13354,13177,2609,10568,0.2,0.8
A Star Laboratories,13/05/2021,24,107,107,11,96,0,0,4031,0,13461,13284,2620,10664,0.2,0.8
A Star Laboratories,14/05/2021,24,210,210,13,197,0,0,3766,0,13671,13494,2633,10861,0.2,0.8
A Star Laboratories,15/05/2021,24,184,184,33,151,0,0,3536,0,13855,13678,2666,11012,0.19,0.81
A Star Laboratories,16/05/2021,,,,,,,,,,13855,13678,2666,11012,0.19,0.81
A Star Laboratories,17/05/2021,24,251,251,27,224,0,0,0,0,14106,13929,2693,11236,0.19,0.81
A Star Laboratories,18/05/2021,24,95,95,18,77,0,0,3284,0,14201,14024,2711,11313,0.19,0.81
A Star Laboratories,19/05/2021,24,114,114,28,86,0,0,3098,1,14315,14138,2739,11399,0.19,0.81
A Star Laboratories,20/05/2021,24,92,92,13,79,0,0,3002,0,14407,14230,2752,11478,0.19,0.81
A Star Laboratories,21/05/2021,24,127,127,13,114,0,0,2874,0,14534,14357,2765,11592,0.19,0.81
A Star Laboratories,22/05/2021,24,99,99,10,89,0,0,2780,0,14633,14456,2775,11681,0.19,0.81
A Star Laboratories,23/05/2021,,,,,,,,,,14633,14456,2775,11681,0.19,0.81
A Star Laboratories,24/05/2021,24,202,202,18,184,0,0,2626,0,14835,14658,2793,11865,0.19,0.81
A Star Laboratories,25/05/2021,24,116,116,16,100,0,0,2465,0,14951,14774,2809,11965,0.19,0.81
A Star Laboratories,26/05/2021,24,132,132,16,116,0,0,2306,0,15083,14906,2825,12081,0.19,0.81
A Star Laboratories,27/05/2021,24,113,113,14,99,0,0,2179,0,15196,15019,2839,12180,0.19,0.81
A Star Laboratories,28/05/2021,24,102,102,19,83,0,0,2070,0,15298,15121,2858,12263,0.19,0.81
A Star Laboratories,29/05/2021,24,176,176,10,166,0,0,1906,0,15474,15297,2868,12429,0.19,0.81
A Star Laboratories,30/05/2021,,,,,,,,,,15474,15297,2868,12429,0.19,0.81
A Star Laboratories,31/05/2021,24,128,128,8,120,0,0,1734,0,15602,15425,2876,12549,0.19,0.81
A Star Laboratories,01/06/2021,24,143,143,9,134,0,0,1549,0,15745,15568,2885,12683,0.19,0.81
A Star Laboratories,02/06/2021,24,103,103,17,86,0,0,1403,0,15848,15671,2902,12769,0.19,0.81
A Star Laboratories,03/06/2021,24,195,195,13,182,0,0,1157,0,16043,15866,2915,12951,0.18,0.82
A Star Laboratories,04/06/2021,24,172,172,6,166,0,0,944,0,16215,16038,2921,13117,0.18,0.82
A Star Laboratories,05/06/2021,24,160,160,10,150,0,0,745,0,16375,16198,2931,13267,0.18,0.82
A Star Laboratories,06/06/2021,,,,,,,,,,16375,16198,2931,13267,0.18,0.82
A Star Laboratories,07/06/2021,24,257,257,20,237,0,0,4097,0,16632,16455,2951,13504,0.18,0.82
A Star Laboratories,08/06/2021,24,207,207,18,189,0,0,3799,0,16839,16662,2969,13693,0.18,0.82
A Star Laboratories,09/06/2021,24,144,144,17,127,0,0,3593,0,16983,16806,2986,13820,0.18,0.82
A Star Laboratories,10/06/2021,24,153,153,6,147,0,0,3394,0,17136,16959,2992,13967,0.18,0.82
A Star Laboratories,11/06/2021,24,259,259,21,238,0,0,3073,0,17395,17218,3013,14205,0.17,0.83
A Star Laboratories,12/06/2021,24,206,206,8,198,0,0,2806,0,17601,17424,3021,14403,0.17,0.83
A Star Laboratories,13/06/2021,,,,,,,,,,17601,17424,3021,14403,0.17,0.83
A Star Laboratories,14/06/2021,24,171,171,17,154,0,0,2615,0,17772,17595,3038,14557,0.17,0.83
A Star Laboratories,15/06/2021,24,174,174,9,165,0,0,2450,0,17946,17769,3047,14722,0.17,0.83
A Star Laboratories,16/06/2021,24,171,171,17,154,0,0,2259,0,18117,17940,3064,14876,0.17,0.83
A Star Laboratories,17/06/2021,24,136,136,7,129,0,0,3069,0,18253,18076,3071,15005,0.17,0.83
A Star Laboratories,18/06/2021,24,133,133,16,117,0,0,2908,0,18386,18209,3087,15122,0.17,0.83
A Star Laboratories,19/06/2021,24,144,144,14,130,0,0,2736,0,18530,18353,3101,15252,0.17,0.83
A Star Laboratories,20/06/2021,,,,,,,,,,18530,18353,3101,15252,0.17,0.83
A Star Laboratories,21/06/2021,24,143,143,20,123,0,0,4086,0,18673,18496,3121,15375,0.17,0.83
A Star Laboratories,22/06/2021,24,103,103,8,95,0,0,3937,0,18776,18599,3129,15470,0.17,0.83
A Star Laboratories,23/06/2021,24,126,126,9,117,0,0,3764,0,18902,18725,3138,15587,0.17,0.83
A Star Laboratories,24/06/2021,24,145,145,13,132,0,0,3585,0,19047,18870,3151,15719,0.17,0.83
A Star Laboratories,25/06/2021,24,202,202,8,194,0,0,3363,0,19249,19072,3159,15913,0.17,0.83
A Star Laboratories,26/06/2021,24,263,263,27,236,0,0,3056,0,19512,19335,3186,16149,0.16,0.84
A Star Laboratories,27/06/2021,,,,,,,,,,19512,19335,3186,16149,0.16,0.84
A Star Laboratories,28/06/2021,24,191,191,14,177,0,0,2809,0,19703,19526,3200,16326,0.16,0.84
A Star Laboratories,29/06/2021,24,160,160,14,146,0,0,2585,0,19863,19686,3214,16472,0.16,0.84
A Star Laboratories,30/06/2021,24,169,169,20,149,0,0,3807,0,20032,19855,3234,16621,0.16,0.84
A Star Laboratories,01/07/2021,24,134,134,14,120,0,0,3637,0,20166,19989,3248,16741,0.16,0.84
A Star Laboratories,02/07/2021,24,190,190,15,175,190,0,3463,0,20356,20179,3263,16916,0.16,0.84
A Star Laboratories,03/07/2021,24,226,226,18,208,226,0,3182,0,20582,20405,3281,17124,0.16,0.84
A Star Laboratories,04/07/2021,,,,,,,,,,20582,20405,3281,17124,0.16,0.84
A Star Laboratories,05/07/2021,24,166,166,21,145,0,0,2958,0,20748,20571,3302,17269,0.16,0.84
A Star Laboratories,06/07/2021,24,137,37,16,21,0,0,2759,0,20885,20608,3318,17290,0.16,0.84
